"STD_YM","SI_DO_NM","SGNG_NM","ADONG_NM","BLOCK_CD","X_COORD","Y_COORD","MAN_FLOW_POP_CNT_10G","MAN_FLOW_POP_CNT_20G","MAN_FLOW_POP_CNT_30G","MAN_FLOW_POP_CNT_40G","MAN_FLOW_POP_CNT_50G","MAN_FLOW_POP_CNT_60GU","WMAN_FLOW_POP_CNT_10G","WMAN_FLOW_POP_CNT_20G","WMAN_FLOW_POP_CNT_30G","WMAN_FLOW_POP_CNT_40G","WMAN_FLOW_POP_CNT_50G","WMAN_FLOW_POP_CNT_60GU","DATA_LOAD_DT"
"201603","서울특별시","종로구","평창동","11010560200011000001","953001.8125","1956961","0.41","0.83","1.15","1.38","1.64","1.19","0.5","0.94","1.16","1.63","1.63","1.22","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560200051000001","953935.8125","1957367","0.26","0.53","0.77","0.94","1.09","0.75","0.36","0.64","0.76","1.06","1.1","0.81","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560200051000001","954130.8125","1957160","0.68","1.34","1.87","2.28","2.66","1.9","0.83","1.51","1.89","2.64","2.65","1.96","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560200031000001","953050.875","1956961","0.39","0.8","1.11","1.38","1.6","1.17","0.49","0.89","1.1","1.55","1.57","1.2","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560300051000001","953636.875","1956547","1.01","1.88","2.66","3.23","3.81","2.78","1.19","2.14","2.67","3.73","3.76","2.75","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560300051000001","953834.8125","1956854","0.85","1.58","2.27","2.78","3.26","2.33","1.02","1.82","2.27","3.19","3.22","2.34","2016-05-04 오후 6:30:50"
"201603","서울특별시","종로구","평창동","11010560200051000001","954082.3125","1957263","0.38","1.5","4.35","5.21","4.59","3.04","0.68","1.51","2.36","3.03","3.13","2.69","2016-05-04 오후 6:31:12"
"201603","서울특별시","종로구","평창동","11010560200051000001","953936.125","1957418","3.17","4.55","7.77","9.59","9.79","8.03","5.53","4.27","7.3","10.8","10.19","8.26","2016-05-04 오후 6:30:53"
"201603","서울특별시","종로구","평창동","11010560200031000001","953149.8125","1957114","0.25","0.99","2.83","3.41","3","1.99","0.44","0.97","1.52","1.97","2.02","1.7","2016-05-04 오후 6:30:53"
"201603","서울특별시","종로구","평창동","11010560200031000001","953295.125","1956805","0.51","1.87","5.34","6.4","5.64","3.74","0.83","1.82","2.89","3.69","3.82","3.26","2016-05-04 오후 6:30:53"
