날짜,발전기명,주소,설비용량(MW),일일발전량(Wh)
2019-02-25,광양항태양광,전남 광양시 도이동 775,2.3,6915600
2019-02-26,광양항태양광,전남 광양시 도이동 775,2.3,6634800
2019-02-27,광양항태양광,전남 광양시 도이동 775,2.3,3200400
2019-02-28,광양항태양광,전남 광양시 도이동 775,2.3,6150600
2019-03-01,광양항태양광,전남 광양시 도이동 775,2.3,6946200
2019-03-02,광양항태양광,전남 광양시 도이동 775,2.3,5038200
2019-03-03,광양항태양광,전남 광양시 도이동 775,2.3,4134600
2019-03-04,광양항태양광,전남 광양시 도이동 775,2.3,6147000
2019-03-05,광양항태양광,전남 광양시 도이동 775,2.3,4266000
2019-03-06,광양항태양광,전남 광양시 도이동 775,2.3,4807800
2019-03-07,광양항태양광,전남 광양시 도이동 775,2.3,7009200
2019-03-08,광양항태양광,전남 광양시 도이동 775,2.3,7979400
2019-03-09,광양항태양광,전남 광양시 도이동 775,2.3,6161400
2019-03-10,광양항태양광,전남 광양시 도이동 775,2.3,1882800
2019-03-11,광양항태양광,전남 광양시 도이동 775,2.3,5997600
2019-03-12,광양항태양광,전남 광양시 도이동 775,2.3,6863400
2019-03-13,광양항태양광,전남 광양시 도이동 775,2.3,8343000
2019-03-14,광양항태양광,전남 광양시 도이동 775,2.3,8341200
2019-03-15,광양항태양광,전남 광양시 도이동 775,2.3,4993200
2019-03-16,광양항태양광,전남 광양시 도이동 775,2.3,8274600
2019-03-17,광양항태양광,전남 광양시 도이동 775,2.3,8830800
2019-03-18,광양항태양광,전남 광양시 도이동 775,2.3,5731200
2019-03-19,광양항태양광,전남 광양시 도이동 775,2.3,7772400
2019-03-20,광양항태양광,전남 광양시 도이동 775,2.3,2608200
2019-03-21,광양항태양광,전남 광양시 도이동 775,2.3,6841800
2019-03-22,광양항태양광,전남 광양시 도이동 775,2.3,9298800
2019-03-23,광양항태양광,전남 광양시 도이동 775,2.3,7743600
2019-03-24,광양항태양광,전남 광양시 도이동 775,2.3,9675000
2019-03-25,광양항태양광,전남 광양시 도이동 775,2.3,6210000
2019-03-26,광양항태양광,전남 광양시 도이동 775,2.3,8969400
